year,emissions_ktCO2e,emissions_MtCO2e,source,pollutant,country
1990,51348,51.35,All sources,Greenhouse gases total,Norway
1991,48987,48.99,All sources,Greenhouse gases total,Norway
1992,47450,47.45,All sources,Greenhouse gases total,Norway
1993,49379,49.38,All sources,Greenhouse gases total,Norway
1994,51331,51.33,All sources,Greenhouse gases total,Norway
1995,51741,51.74,All sources,Greenhouse gases total,Norway
1996,54642,54.64,All sources,Greenhouse gases total,Norway
1997,54619,54.62,All sources,Greenhouse gases total,Norway
1998,54694,54.69,All sources,Greenhouse gases total,Norway
1999,55698,55.7,All sources,Greenhouse gases total,Norway
2000,55092,55.09,All sources,Greenhouse gases total,Norway
2001,56344,56.34,All sources,Greenhouse gases total,Norway
2002,55034,55.03,All sources,Greenhouse gases total,Norway
2003,55655,55.66,All sources,Greenhouse gases total,Norway
2004,56028,56.03,All sources,Greenhouse gases total,Norway
2005,54897,54.9,All sources,Greenhouse gases total,Norway
2006,54870,54.87,All sources,Greenhouse gases total,Norway
2007,56548,56.55,All sources,Greenhouse gases total,Norway
2008,55026,55.03,All sources,Greenhouse gases total,Norway
2009,52541,52.54,All sources,Greenhouse gases total,Norway
2010,54855,54.85,All sources,Greenhouse gases total,Norway
2011,53848,53.85,All sources,Greenhouse gases total,Norway
2012,53258,53.26,All sources,Greenhouse gases total,Norway
2013,53481,53.48,All sources,Greenhouse gases total,Norway
2014,53878,53.88,All sources,Greenhouse gases total,Norway
2015,54417,54.42,All sources,Greenhouse gases total,Norway
2016,53533,53.53,All sources,Greenhouse gases total,Norway
2017,52838,52.84,All sources,Greenhouse gases total,Norway
2018,52991,52.99,All sources,Greenhouse gases total,Norway
2019,51223,51.22,All sources,Greenhouse gases total,Norway
2020,49499,49.5,All sources,Greenhouse gases total,Norway
2021,49325,49.33,All sources,Greenhouse gases total,Norway
2022,48973,48.97,All sources,Greenhouse gases total,Norway
2023,46654,46.65,All sources,Greenhouse gases total,Norway
2024,45006,45.01,All sources,Greenhouse gases total,Norway
